event_id,ticker,event_date,result,sampled_decisions,first_conditional_match,unresolved
user-001,QH,2025-07-28,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-002,RAYA,2025-07-25,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2025-07-16T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-003,GDHG,2025-07-25,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-004,GSIW,2025-07-24,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,19,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-005,ORIS,2025-07-22,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,19,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-006,EJH,2025-07-22,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-007,GSIW,2025-07-21,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,19,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-008,RAYA,2025-07-21,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2025-07-16T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-009,MFH,2025-07-21,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2025-06-20T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-010,PCLA,2025-07-15,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2025-07-11T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-011,MSW,2025-07-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-012,PHH,2025-07-08,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2025-06-06T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-013,WAI,2025-07-07,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-014,YAAS,2025-07-01,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-015,OST,2025-06-30,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-05-30T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-016,GDHG,2025-06-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-017,OST,2025-06-27,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-05-29T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-018,OST,2025-06-26,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-05-28T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-019,GVH,2025-06-26,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-020,JZ,2025-06-17,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-021,CREG,2025-06-16,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-022,MCTR,2025-06-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
