event_id,ticker,event_date,reported_drop_pct,source
user-001,QH,2025-07-28,-92.0,user_supplied_unverified
user-002,RAYA,2025-07-25,-51.0,user_supplied_unverified
user-003,GDHG,2025-07-25,-63.0,user_supplied_unverified
user-004,GSIW,2025-07-24,-67.0,user_supplied_unverified
user-005,ORIS,2025-07-22,-71.0,user_supplied_unverified
user-006,EJH,2025-07-22,-62.0,user_supplied_unverified
user-007,GSIW,2025-07-21,-91.0,user_supplied_unverified
user-008,RAYA,2025-07-21,-95.0,user_supplied_unverified
user-009,MFH,2025-07-21,-74.0,user_supplied_unverified
user-010,PCLA,2025-07-15,-83.0,user_supplied_unverified
user-011,MSW,2025-07-14,-70.0,user_supplied_unverified
user-012,PHH,2025-07-08,-93.0,user_supplied_unverified
user-013,WAI,2025-07-07,-82.0,user_supplied_unverified
user-014,YAAS,2025-07-01,-88.0,user_supplied_unverified
user-015,OST,2025-06-30,-60.0,user_supplied_unverified
user-016,GDHG,2025-06-30,-67.0,user_supplied_unverified
user-017,OST,2025-06-27,-64.0,user_supplied_unverified
user-018,OST,2025-06-26,-94.0,user_supplied_unverified
user-019,GVH,2025-06-26,-78.0,user_supplied_unverified
user-020,JZ,2025-06-17,-69.0,user_supplied_unverified
user-021,CREG,2025-06-16,-52.0,user_supplied_unverified
user-022,MCTR,2025-06-05,-73.0,user_supplied_unverified
user-023,MCTR,2025-06-04,-61.0,user_supplied_unverified
user-024,PTLE,2025-06-04,-54.0,user_supplied_unverified
user-025,RAY,2025-06-03,-52.0,user_supplied_unverified
user-026,PTLE,2025-06-03,-67.0,user_supplied_unverified
user-027,SISI,2025-05-30,-57.0,user_supplied_unverified
user-028,NAMI,2025-05-29,-67.0,user_supplied_unverified
user-029,GDHG,2025-05-23,-69.0,user_supplied_unverified
user-030,UFG,2025-05-22,-69.0,user_supplied_unverified
user-031,HLP,2025-05-21,-51.0,user_supplied_unverified
user-032,WYHG,2025-05-15,-82.0,user_supplied_unverified
user-033,BLMZ,2025-05-14,-58.0,user_supplied_unverified
user-034,HTCO,2025-05-14,-85.0,user_supplied_unverified
user-035,RGC,2025-05-13,-55.0,user_supplied_unverified
user-036,ITP,2025-05-13,-50.0,user_supplied_unverified
user-037,ZYBT,2025-05-13,-66.0,user_supplied_unverified
user-038,NTCL,2025-05-05,-63.0,user_supplied_unverified
user-039,SXTC,2025-05-05,-58.0,user_supplied_unverified
user-040,CDTG,2025-05-01,-77.0,user_supplied_unverified
user-041,HPH,2025-05-01,-50.0,user_supplied_unverified
user-042,EJH,2025-04-30,-57.0,user_supplied_unverified
user-043,AGMH,2025-04-29,-50.0,user_supplied_unverified
user-044,ZYBT,2025-04-29,-54.0,user_supplied_unverified
user-045,CGTL,2025-04-25,-78.0,user_supplied_unverified
user-046,JZXN,2025-04-24,-79.0,user_supplied_unverified
user-047,OMH,2025-04-22,-53.0,user_supplied_unverified
user-048,JYD,2025-04-22,-55.0,user_supplied_unverified
user-049,CLIK,2025-04-21,-60.0,user_supplied_unverified
user-050,SXTC,2025-04-21,-54.0,user_supplied_unverified
user-051,LXEH,2025-04-21,-76.0,user_supplied_unverified
user-052,RTC,2025-04-21,-55.0,user_supplied_unverified
user-053,CLIK,2025-04-17,-65.0,user_supplied_unverified
user-054,LXEH,2025-04-17,-83.0,user_supplied_unverified
user-055,CLIK,2025-04-16,-78.0,user_supplied_unverified
user-056,BLMZ,2025-04-16,-55.0,user_supplied_unverified
user-057,XHG,2025-04-11,-72.0,user_supplied_unverified
user-058,LXEH,2025-04-10,-56.0,user_supplied_unverified
user-059,OST,2025-04-09,-75.0,user_supplied_unverified
user-060,XHG,2025-04-08,-69.0,user_supplied_unverified
user-061,FEDU,2025-04-08,-54.0,user_supplied_unverified
user-062,AGMH,2025-04-07,-58.0,user_supplied_unverified
user-063,JYD,2025-04-02,-95.0,user_supplied_unverified
user-064,TDTH,2025-03-27,-67.0,user_supplied_unverified
user-065,WLGS,2025-03-24,-88.0,user_supplied_unverified
user-066,HTCO,2025-03-24,-52.0,user_supplied_unverified
user-067,ANTE,2025-03-18,-51.0,user_supplied_unverified
user-068,BON,2025-03-17,-61.0,user_supplied_unverified
user-069,SPHL,2025-03-13,-53.0,user_supplied_unverified
user-070,SPHL,2025-03-12,-84.0,user_supplied_unverified
user-071,WCT,2025-03-11,-82.0,user_supplied_unverified
user-072,STBX,2025-03-04,-52.0,user_supplied_unverified
user-073,AGMH,2025-03-03,-68.0,user_supplied_unverified
